1183810:
 num     #instances         #bytes  class name (module)
 116:          2922         140256  com.google.common.collect.SingletonImmutableBiMap (com.google.common@31.1-jre)
 117:             8         139392  [[Lnet.minecraft.client.gui.font.FontSet$GlyphInfoFilter; (minecraft@1.20.1)
 118:             8         139392  [[Lnet.minecraft.client.gui.font.glyphs.BakedGlyph; (minecraft@1.20.1)
 119:          4352         139264  sun.nio.fs.UnixPath (java.base@17.0.15)
 120:          2087         133568  net.minecraft.client.model.geom.ModelPart (minecraft@1.20.1)
 121:          1738         132088  [Ljava.lang.ref.SoftReference; (java.base@17.0.15)
 122:          5391         129384  cpw.mods.modlauncher.TransformerAuditTrail$TransformerActivity (cpw.mods.modlauncher@10.0.9)
 123:          5327         127848  net.minecraft.resources.ResourceKey (minecraft@1.20.1)
 124:          5327         127848  net.minecraft.resources.ResourceKey$InternKey (minecraft@1.20.1)
 125:          3116         124640  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.15)
 126:          7759         124144  java.lang.Integer (java.base@17.0.15)
 127:          5114         122736  com.mojang.datafixers.schemas.Schema$$Lambda$1808/0x000000080081a408 (datafixerupper@6.0.8)
 128:          2532         121536  net.minecraft.client.gui.font.providers.BitmapProvider$Glyph (minecraft@1.20.1)
 129:          4969         119256  net.minecraft.client.resources.model.Material (minecraft@1.20.1)
 130:          2467         118416  net.minecraft.client.renderer.texture.TextureAtlasSprite (minecraft@1.20.1)
 131:          4828         115968  [Ljava.lang.reflect.Constructor; (java.base@17.0.15)
 132:          3504         112128  cpw.mods.niofs.union.UnionPath (cpw.mods.securejarhandler)
 133:          3416         109312  net.minecraft.server.packs.resources.Resource (minecraft@1.20.1)
 134:          1003         104312  net.minecraft.world.level.block.state.BlockBehaviour$Properties (minecraft@1.20.1)
 135:          4137          99288  cpw.mods.jarhandling.impl.Jar$StatusData (cpw.mods.securejarhandler)
 136:          2467          98680  net.minecraft.client.renderer.texture.SpriteContents (minecraft@1.20.1)
 137:          2402          96080  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.15)
 138:          2490          95424  [Lcom.mojang.blaze3d.platform.NativeImage; (minecraft@1.20.1)
 139:          1961          94128  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.15)
 140:          5848          93568  net.minecraft.client.renderer.block.model.MultiVariant (minecraft@1.20.1)
 141:          3786          90864  net.minecraft.client.renderer.block.model.BlockFaceUV (minecraft@1.20.1)
 142:          5665          90640  com.google.common.collect.SingletonImmutableList (com.google.common@31.1-jre)
 143:          5596          89536  net.minecraft.util.datafix.schemas.V1460$$Lambda$2005/0x00000008008593d8 (minecraft@1.20.1)
 144:          1217          87624  java.lang.reflect.Field (java.base@17.0.15)
 145:          2188          87520  net.minecraft.client.model.geom.ModelPart$Cube (minecraft@1.20.1)
 146:          2188          87456  [Lnet.minecraft.client.model.geom.ModelPart$Polygon; (minecraft@1.20.1)
 147:             5          87120  [[Lnet.minecraft.client.gui.font.providers.BitmapProvider$Glyph; (minecraft@1.20.1)
 148:          1772          85056  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@17.0.15)
 149:          3541          84984  net.minecraft.client.resources.model.WeightedBakedModel (minecraft@1.20.1)
 150:          2578          82496  com.mojang.datafixers.types.templates.CompoundList$CompoundListType (datafixerupper@6.0.8)
 151:          5041          80656  com.google.gson.internal.LazilyParsedNumber (com.google.gson@2.10)
 152:          1988          79520  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.15)
 153:          4784          76544  com.mojang.datafixers.util.Either$Left (datafixerupper@6.0.8)
 154:          4750          76000  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.15)
 155:          4622          73952  net.minecraft.util.valueproviders.ConstantFloat (minecraft@1.20.1)
 156:          2265          72480  com.electronwill.nightconfig.core.SimpleCommentedConfig (com.electronwill.nightconfig.core@3.6.4)
 157:          1352          71368  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17.0.15)
 158:            67          69680  [Lnet.minecraft.client.gui.font.providers.BitmapProvider$Glyph; (minecraft@1.20.1)
 159:          1347          64656  java.lang.invoke.LambdaForm (java.base@17.0.15)
 160:          1002          64128  java.util.concurrent.ConcurrentHashMap (java.base@17.0.15)
 161:          1987          63584  sun.security.util.ObjectIdentifier (java.base@17.0.15)
 162:          2465          59160  java.util.Collections$SynchronizedSet (java.base@17.0.15)
 163:          3694          59104  net.minecraftforge.client.model.geometry.BlockGeometryBakingContext$VisibilityData (forge@47.4.13)
 164:          2399          57576  com.mojang.serialization.Codec$$Lambda$1062/0x0000000800565dc0 (datafixerupper@6.0.8)
 165:          2399          57576  com.mojang.serialization.codecs.FieldDecoder (datafixerupper@6.0.8)
 166:          2399          57576  com.mojang.serialization.codecs.FieldEncoder (datafixerupper@6.0.8)
 167:          3594          57504  net.minecraft.server.packs.linkfs.PathContents$FileContents (minecraft@1.20.1)
 168:          2376          57024  java.util.jar.Attributes$Name (java.base@17.0.15)
 169:          2304          55296  java.util.ImmutableCollections$ListN (java.base@17.0.15)
 170:          1139          54672  net.minecraftforge.fml.loading.moddiscovery.ModInfo$ModVersion (fmlloader@1.20.1-47.4.13)
 171:          3416          54656  net.minecraft.server.packs.resources.IoSupplier$$Lambda$4592/0x0000000800c287d0 (minecraft@1.20.1)
 172:           572          54328  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.15)
 173:          2235          53640  java.util.ImmutableCollections$Set12 (java.base@17.0.15)
 174:          3344          53504  net.minecraft.client.renderer.block.model.multipart.OrCondition$$Lambda$5611/0x0000000800e1f500 (minecraft@1.20.1)
 175:            14          53472  [Ljava.nio.ByteBuffer; (java.base@17.0.15)
 176:           817          52288  java.util.zip.Inflater (java.base@17.0.15)
 177:          1592          50944  net.minecraft.network.chat.MutableComponent (minecraft@1.20.1)
 178:           700          50400  sun.nio.ch.FileChannelImpl (java.base@17.0.15)
 179:          1244          49760  sun.security.util.DerInputStream (java.base@17.0.15)
 180:          1552          49664  net.minecraft.network.chat.contents.TranslatableContents (minecraft@1.20.1)
 181:          1238          49520  java.lang.ref.Finalizer (java.base@17.0.15)
 182:          1231          49240  jdk.nio.zipfs.ZipFileSystem$END (jdk.zipfs@17.0.15)
 183:           929          44592  java.util.Hashtable (java.base@17.0.15)
 184:           695          44480  it.unimi.dsi.fastutil.objects.Object2ObjectOpenHashMap (it.unimi.dsi.fastutil@8.5.9)
 185:           913          43824  net.minecraft.client.model.geom.builders.CubeDefinition (minecraft@1.20.1)
 186:          1826          43824  net.minecraft.client.model.geom.builders.UVPair (minecraft@1.20.1)
 187:          1784          42816  com.mojang.serialization.MapDecoder$4 (datafixerupper@6.0.8)
 188:          1779          42696  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@17.0.15)
 189:           750          42000  net.minecraft.world.item.BlockItem (minecraft@1.20.1)
 190:          2619          41904  org.apache.maven.artifact.versioning.ComparableVersion$IntItem (maven.artifact@3.8.5)
 191:          1719          41256  com.mojang.serialization.MapEncoder$1 (datafixerupper@6.0.8)
 192:          1020          40800  cpw.mods.niofs.union.UnionFileSystem (cpw.mods.securejarhandler)
 193:          1012          40480  net.minecraft.client.renderer.block.model.BlockElement (minecraft@1.20.1)
 194:          1676          40224  java.util.LinkedList$Node (java.base@17.0.15)
 195:          1244          39808  sun.security.util.DerValue (java.base@17.0.15)
 196:          1231          39392  jdk.nio.zipfs.ZipPath (jdk.zipfs@17.0.15)
 197:            12          39104  [Ljava.util.concurrent.ForkJoinTask; (java.base@17.0.15)
 198:          1624          38976  com.mojang.datafixers.types.templates.Named (datafixerupper@6.0.8)
 199:          1624          38976  com.mojang.serialization.MapCodec$3 (datafixerupper@6.0.8)
 200:           964          38560  org.openjdk.nashorn.internal.runtime.CompiledFunction (org.openjdk.nashorn)
 201:          1584          38016  com.mojang.serialization.codecs.RecordCodecBuilder (datafixerupper@6.0.8)
 202:           945          37800  com.mojang.datafixers.types.templates.RecursivePoint$RecursivePointType (datafixerupper@6.0.8)
 203:           943          37720  java.math.BigInteger (java.base@17.0.15)
 204:           941          37640  java.util.WeakHashMap$Entry (java.base@17.0.15)
 205:          1557          37368  com.mojang.serialization.codecs.PairMapCodec (datafixerupper@6.0.8)
 206:           778          37344  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@17.0.15)
